,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
67,03/08/2019,12:10,BROOKLYN,11236.0,40.646114000000004,-73.904785,"(40.646114, -73.904785)",FARRAGUT ROAD                   ,EAST 96 STREET,,3,0.0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,4094652.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
844,03/07/2019,18:45,BROOKLYN,11224.0,40.579803000000005,-73.97184,"(40.579803, -73.97184)",WEST 5 STREET                   ,NEPTUNE AVENUE,,2,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4093044.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Pick-up Truck
2293,03/04/2019,11:00,BROOKLYN,11228.0,40.62072,-74.0203,"(40.62072, -74.0203)",7 AVENUE                        ,83 STREET,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4090928.0,Sedan,Sedan,Sedan,Sedan,Sedan
3152,03/03/2019,4:05,BRONX,10455.0,40.812126,-73.90419,"(40.812126, -73.90419)",EAST 149 STREET                 ,SOUTHERN BOULEVARD,,3,0.0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4089905.0,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
5002,02/28/2019,21:15,STATEN ISLAND,10304.0,40.619907,-74.08591,"(40.619907, -74.08591)",VANDUZER STREET                 ,LAUREL AVENUE,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4088907.0,PK,Sedan,Sedan,Sedan,Sedan
5222,02/28/2019,9:45,QUEENS,11385.0,40.70255,-73.88984,"(40.70255, -73.88984)",CENTRAL AVENUE                  ,65 PLACE,,3,0.0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4089821.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
6668,02/25/2019,14:33,STATEN ISLAND,10305.0,40.59684,-74.06208000000001,"(40.59684, -74.06208)",LILY POND AVENUE                ,GUILFORD STREET,,4,0.0,0,0,0,0,4,0,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,4086646.0,Pick-up Truck,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
6715,02/25/2019,15:29,MANHATTAN,10031.0,40.8188,-73.95603,"(40.8188, -73.95603)",WEST 133 STREET                 ,BROADWAY,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4086629.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
7515,02/24/2019,9:58,BROOKLYN,11210.0,40.62956,-73.94341999999999,"(40.62956, -73.94342)",AVENUE I                        ,EAST 34 STREET,,4,0.0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,4086337.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
7532,02/23/2019,0:40,QUEENS,11418.0,40.69507,-73.82376,"(40.69507, -73.82376)",ATLANTIC AVENUE                 ,124 STREET,,3,0.0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4085991.0,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
8940,02/21/2019,21:49,BRONX,10467.0,40.878994,-73.87769,"(40.878994, -73.87769)",RESERVOIR OVAL WEST             ,WAYNE AVENUE,,1,0.0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4085079.0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
10996,02/17/2019,2:20,BROOKLYN,11236.0,40.63671,-73.88519000000001,"(40.63671, -73.88519)",SEAVIEW AVENUE                  ,EAST 103 STREET,,0,0.0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,Unspecified,Unspecified,4086217.0,Sedan,Sedan,Sedan,Sedan,Sedan
11070,02/16/2019,0:00,QUEENS,11422.0,40.652313,-73.73688,"(40.652313, -73.73688)",253 STREET                      ,149 ROAD,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4081638.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
11390,02/16/2019,18:53,BROOKLYN,11234.0,40.62625,-73.920876,"(40.62625, -73.920876)",EAST 57 STREET                  ,AVENUE K,,0,0.0,0,0,0,0,0,0,Glare,Unspecified,Unspecified,Unspecified,Unspecified,4082958.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
13072,02/13/2019,14:37,STATEN ISLAND,10306.0,40.581790000000005,-74.11128000000001,"(40.58179, -74.11128)",RICHMOND ROAD                   ,COLFAX AVENUE,,3,0.0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,4080157.0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Pick-up Truck,Sedan,Sedan
14637,02/11/2019,6:07,BROOKLYN,11208.0,40.66803,-73.87285,"(40.66803, -73.87285)",FOUNTAIN AVENUE                 ,HEGEMAN AVENUE,,1,0.0,0,0,0,0,1,0,Alcohol Involvement,Alcohol Involvement,Oversized Vehicle,Unspecified,Unspecified,4078799.0,Sedan,Bus,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
14645,02/11/2019,6:29,BROOKLYN,11207.0,40.673016,-73.89718,"(40.673016, -73.89718)",GLENMORE AVENUE                 ,SHEFFIELD AVENUE,,2,0.0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4078796.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
15666,02/09/2019,4:10,BRONX,10468.0,40.861744,-73.911804,"(40.861744, -73.911804)",CEDAR AVENUE                    ,WEST FORDHAM ROAD,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4079137.0,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
15699,02/09/2019,7:29,BRONX,10457.0,40.837654,-73.89997,"(40.837654, -73.89997)",FULTON AVENUE                   ,CLAREMONT PARKWAY,,12,0.0,0,0,0,0,12,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,4077687.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Bus
15718,02/09/2019,8:45,QUEENS,11377.0,40.74196,-73.90831,"(40.74196, -73.90831)",57 STREET                       ,QUEENS BOULEVARD,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4077913.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
