,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
308365,10/31/2017,15:08,MANHATTAN,10014,40.729046,-74.01073,"(40.729046, -74.01073)",WEST STREET                     ,WEST HOUSTON STREET,12,8,7,6,1,2,4,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,3782508,FB,BU,BICYCLE,BICYCLE,BICYCLE
962197,12/04/2014,13:45,MANHATTAN,10030,40.8232596,-73.9429233,"(40.8232596, -73.9429233)",WEST 145 STREET                 ,BRADHURST AVENUE                ,12,0,0,0,0,0,12,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3130459,BUS,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
284070,12/07/2017,13:20,MANHATTAN,10005,40.709152,-74.01055,"(40.709152, -74.01055)",BROADWAY                        ,LIBERTY STREET,7,0,3,0,1,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,3805805,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,BICYCLE
958863,12/10/2014,21:54,MANHATTAN,10001,40.7497883,-73.9877686,"(40.7497883, -73.9877686)",WEST 34 STREET                  ,6 AVENUE                        ,7,0,5,0,0,0,2,0,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3134589,OTHER,OTHER,OTHER,OTHER,OTHER
277981,12/16/2017,20:10,MANHATTAN,10025,40.795532,-73.975845,"(40.795532, -73.975845)",WEST 95 STREET                  ,RIVERSIDE DRIVE,5,0,0,0,0,0,5,0,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Unspecified,3811132,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
341118,09/11/2017,10:24,MANHATTAN,10016,40.74967,-73.98158,"(40.74967, -73.98158)",EAST 37 STREET                  ,MADISON AVENUE,5,0,0,0,0,0,5,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,3750259,TAXI,PASSENGER VEHICLE,TAXI,TAXI,PASSENGER VEHICLE
359557,08/13/2017,5:25,MANHATTAN,10002,40.717724,-73.98579,"(40.717724, -73.98579)",WILLIAMSBURG BRIDGE             ,CLINTON STREET,5,0,0,0,0,0,5,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3730782,PASSENGER VEHICLE,TAXI,SPORT UTILITY / STATION WAGON,TAXI,SPORT UTILITY / STATION WAGON
990360,10/17/2014,8:30,MANHATTAN,10029,40.7999853,-73.9448468,"(40.7999853, -73.9448468)",EAST 116 STREET                 ,MADISON AVENUE                  ,5,0,0,0,0,0,5,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2809304,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
990361,10/17/2014,8:30,MANHATTAN,10029,40.7999853,-73.9448468,"(40.7999853, -73.9448468)",EAST 116 STREET                 ,MADISON AVENUE                  ,5,0,0,0,0,0,5,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2810657,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,OTHER,PASSENGER VEHICLE,PASSENGER VEHICLE
76093,11/01/2018,3:46,MANHATTAN,10022,40.758007,-73.96625,"(40.758007, -73.96625)",2 AVENUE                        ,EAST 55 STREET,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4012031,Station Wagon/Sport Utility Vehicle,Box Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Garbage or Refuse
