,text,Date,is_retweet
2,RT @Reince: Happy New Year + God's blessings to you all.  Looking forward to incredible things in 2017!  @realDonaldTrump will Make America…,20170101,TRUE
3,RT @EricTrump: 2016 was such an incredible year for our entire family! My beautiful wife @LaraLeaTrump made it even better! 🇺🇸🇺🇸 https://t.…,20170101,TRUE
4,RT @DonaldJTrumpJr: Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq,20170101,TRUE
5,RT @IvankaTrump: 2016 has been one of the most eventful and exciting years of my life. I wish you peace joy love and laughter. Happy New…,20170101,TRUE
6,Well the New Year begins. We will together MAKE AMERICA GREAT AGAIN!,20170201,FALSE
7,Chicago murder rate is record setting - 4331 shooting victims with 762 murders in 2016. If Mayor can't do it he must ask for Federal help!,20170201,FALSE
8,"@CNN just released a book called ""Unprecedented"" which explores the 2016 race &amp; victory. Hope it does well but used worst cover photo of me!",20170201,FALSE
9,Various media outlets and pundits say that I thought I was going to lose the election. Wrong it all came together in the last week and.....,20170201,FALSE
10,I thought and felt I would win big easily over the fabled 270 (306). When they cancelled fireworks they knew and so did I.,20170201,FALSE
11,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,20170201,FALSE
13,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,20170301,FALSE
14,"People must remember that ObamaCare just doesn't work and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",20170301,FALSE
15,"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And it is lousy healthcare.",20170301,FALSE
16,With all that Congress has to work on do they really have to make the weakening of the Independent Ethics Watchdog as unfair as it,20170301,FALSE
17,........may be their number one act and priority. Focus on tax reform healthcare and so many other things of far greater importance! #DTS,20170301,FALSE
18,@DanScavino: Ford to scrap Mexico plant invest in Michigan due to Trump policieshttps://t.co/137nUo03Gl,20170301,FALSE
20,There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield.,20170301,FALSE
21,Trump is already delivering the jobs he promised America https://t.co/11spTMa6Tm,20170301,FALSE
22,I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.,20170301,FALSE
23,"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday perhaps more time needed to build a case. Very strange!",20170401,FALSE
24,"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",20170401,FALSE
25,@FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9 More dishonest than anyone knows,20170401,FALSE
26,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,20170401,FALSE
27,"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible......",20170401,FALSE
28,things they did and said (like giving the questions to the debate to H). A total double standard! Media as usual gave them a pass.,20170401,FALSE
29,Republicans must be careful in that the Dems own the failed ObamaCare disaster with its poor coverage and massive premium increases......,20170401,FALSE
30,like the 116% hike in Arizona. Also deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...,20170401,FALSE
31,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,20170401,FALSE
32,"Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the ""Movement""",20170401,FALSE
33,The Democrats lead by head clown Chuck Schumer know how bad ObamaCare is and what a mess they are in. Instead of working to fix it they..,20170501,FALSE
34,"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor keep your plan!"" It is....",20170501,FALSE
36,The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states it is for the people....,20170501,FALSE
37,"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",20170501,FALSE
38,Toyota Motor said will build a new plant in Baja Mexico to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.,20170501,FALSE
39,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",20170601,FALSE
40,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,20170601,FALSE
